Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.955,-53.34,270.0,bottom
C1,57.726,-83.82,0.0,top
C2,55.214,-83.058,180.0,top
C3,71.854,-83.566,0.0,top
C4,69.564,-84.074,180.0,top
GND1,60.955,-96.52,270.0,bottom
LEFT,55.525,-73.911,90.0,top
OUTPUT,73.635,-50.77,0.0,top
R1,59.946,-50.8,0.0,top
R10,49.784,-54.354,270.0,top
R11,51.562,-54.358,270.0,top
R2,62.486,-50.8,0.0,top
R3,55.184,-84.328,180.0,top
R4,50.292,-88.14,90.0,top
R5,50.292,-85.852,90.0,top
R6,69.594,-82.804,180.0,top
R7,64.262,-85.848,90.0,top
R8,64.262,-88.136,90.0,top
R9,53.086,-54.358,90.0,top
RIGHT,68.935,-73.911,90.0,top
U1,55.053,-87.757,90.0,top
U2,69.15,-87.618,90.0,top
U3,52.07,-60.198,180.0,top
U4,62.23,-60.198,270.0,top
